sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
DNA_extraction_kit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2.60879	0.65651	1.16807	3.7236	1.0624	0.24255	0	0.23262	0.12966	0.46972	1.61346	1.90224	5.63422	0.13777	0.5381	0.78757	0.84654	1.25472	0.25949	0.8164	0.16532	0.57997	3.16111	0.25019	0.85511	0.05861	0.96303	4.20026	0.7618	0.38592	1.36954	0.43282	1.0336	0.23964	2.92364	3.00276	4.49339	0.12885	2.44354	3.72379	1.33664	0.04162	1.90604	4.43188	2.23236	0.87068	6.34045	0.46159	3.54249	0.28991	1.93765	0.06414	0.05117	0.25747	1.08106	0.41329	0.0129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_petauri	2.27904	0	0	0	0	0	0.3976	0.12909	0	0.66942	0.10469	0.14184	0	0	0.12927	0	0	1.00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60151	0.04421	2.37814	0	0.26624	0	0	0.05899	0.18426	0	0	0.04942	0	0	0	0.83258	0	0	0	0.0071	0	0.32733	0	0	0	0.00919
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	2.08085	0.12743	0.05657	2.34323	0.66186	0.04196	0	0	0.05688	0.06197	0.02339	0.01854	0	0	0.20471	0.17726	0.14677	1.25358	0.00439	0.91425	0.59322	0.05355	0.04822	0.04808	0.03944	0	0.05413	0.03133	0.49832	0.7233	0	0.75396	0.00186	0.67945	0.2216	0.16269	14.23373	0.13586	0.03002	0.09854	0.336	0.00792	0	0.33557	0.98605	0.28487	0.06039	0.33844	0.50729	0.00282	0.02503	0.00557	0	0.05897	0.23303	0.01768	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_590	1.92506	0.1468	0.15212	0	0.21421	0	0	0	0	0.89954	0.3938	0	0	0	0.18863	0.04374	0.20559	0	0.24211	9.52953	1.00105	0	1.34904	0	0	0.26723	0.09275	0.78432	0.07224	0	0.57415	0.03669	0.31127	0.37817	0.0044	0	0	0	0	0	0.13773	0	0	0	4.94143	0	0	0.14274	0	0	0.3878	0	0	0.00691	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	1.79285	0.77427	0.90634	2.9644	0.34531	0.46466	0	0.66349	0.19848	1.27161	2.13884	0.50201	0.08929	0.19504	5.47749	1.15004	0.84011	2.82571	0.25249	5.41287	1.16632	0.28919	2.44836	6.11912	0.71096	0.49093	0.3971	2.15769	0.92248	1.34026	1.85498	1.43349	1.35505	2.34437	8.20526	3.81123	1.21561	0.53743	2.85164	2.1933	1.42017	0.46693	0.15102	4.43933	3.54363	0.30793	0.76524	2.377	5.01475	0.25743	13.78513	0.23826	0.06285	0.60257	4.31838	10.1904	2.92382
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	1.76243	0.04461	0	1.4428	0	0.32794	0	0	0	0	0.00541	0	0	0.15902	0.05013	0.38919	0.02497	3.52101	0.15552	0	0	0	1.69366	0.01006	4.42369	0	0.0117	1.39919	0.03243	0	0.02869	0.49696	0	0.1887	0	0	1.30036	0.67938	0.814	0.33768	0.09979	0	0.01007	0	0.0156	0.17399	0	0.04943	0	0.00711	0.016	0	0	0.02132	0.15537	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	1.68423	1.32492	0.13427	2.85232	3.61335	0.96753	0	0.00209	0.23606	0.96046	0.61736	0.12104	0	0.11466	0.68199	1.52775	0.74476	0.12632	1.72747	0.40289	1.70712	2.19298	5.30266	7.13019	4.43661	2.09675	0.25694	4.02271	2.15385	5.0735	0.69568	1.84205	1.45477	2.20914	8.77134	2.3925	3.42645	0.54437	7.10973	4.02895	1.16151	0.03409	0.18313	1.71637	6.17914	1.45506	0.19513	5.88314	2.45549	0.7531	0.07155	0.49442	0.18787	0.98054	2.43394	0.10316	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	1.4587	0.84715	16.6081	0.7427	0.11478	0.66912	81.68444	0.48013	18.45687	1.26742	6.87291	0.48514	44.63825	0.05032	18.73155	33.76404	9.08221	7.17798	5.36237	22.30956	0.19283	0.90075	1.80253	1.9895	0.0645	0	0.26918	1.83623	7.51708	4.21015	1.8233	0.66079	10.72308	0.39161	2.5195	0.14099	0.61253	0.43787	13.98824	32.35593	7.9656	0.23578	35.22498	5.20826	0.27868	0.07712	0.73239	0.92722	2.64217	1.28339	0.61807	10.92442	5.42054	7.96751	0.23053	3.0362	13.55094
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii	1.43398	0	0	0.0109	0.00139	0	0	0	0	0.05147	0.28763	0	0.14543	0	0	0	0	0.00766	0.01545	0	0.00131	0.09955	0	0	0	0	0	0	0.02003	0.0557	0.0116	0	0.02154	0	0.03617	0.01372	0.01564	0.00288	0.00163	0.01831	0	0	0	0.58776	0	0.01088	0.33428	0.015	0.05942	0	0.00068	0	0.00938	0	0	0	0.36508
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_520	1.39653	0	1.87763	5.07217	8.54558	0.02509	0	1.525	5.04776	6.6061	4.44171	10.03724	1.35708	0.06094	5.08529	0.03259	1.13295	0	0.07909	1.26305	2.98701	2.42605	1.5411	3.69752	0.45091	5.06444	25.7457	1.92225	0	0.00711	4.89315	1.08223	1.57685	0.02606	1.12292	0.01386	0	0.00384	0.15088	0.00266	0.36784	2.24022	0.01234	1.85214	0.87077	0.00314	0.00739	1.4279	0.00197	5.79053	11.96672	0	0.39256	2.1195	0	14.40918	0.00665
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza	1.32264	0	0	0.55124	0.03258	0.12082	0	0	0	0.98885	0	0	0.00749	0	0	5.57674	0.11518	0.11924	0.00364	0	0	0.35367	0.00833	0.09462	0.8748	0	4.26157	0.01954	0	2.40465	0	0.10631	0	0.71429	1.87067	0	0	1.0477	1.82858	0.75147	0	0.26272	0.02691	0.65351	0	3.41457	0.02868	2.75555	7.71956	1.79738	0.32086	1.80083	0	0.3679	0.54768	0.08919	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83	1.17969	0	0.32879	0.10295	0.76086	0.0463	0	0.31093	0.01746	0.22354	0	0	0.00843	0.01578	0.11282	0.01976	0.03608	0	0.05042	0.09063	0.0168	0.02021	1.90142	0.37528	0.04828	0.01457	0.00105	1.67483	0.35341	0.06764	0.14195	0.04147	0.0838	0.13977	0.50822	0	0.00646	0.72506	0.01828	0	0.07699	0.00165	0	0	0.1708	0.04151	0	0.00979	0.04639	0.01283	0	0	0	0.01978	1.15389	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis	1.07904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum	1.07124	0.00248	0	0	0	0	0	0	0	0.12062	0.28329	0	0	0	0	0	0	0	0.02664	0	0	0.01577	0	0	0	0	0	0	0.02472	0	0	0	0.00353	0	0.01617	0	0	0.01189	0	0.05798	0	0	0	0.16771	0	0	0.07411	0	0	0	0	0.00292	0.02537	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_563	1.05473	0	3.78528	0	0	0	0	0	0	0	0	0	0	0	0.47073	0	0	0.00089	0	0	0	0	1.08239	0.00102	0	0	0	1.2428	0.00106	0	0.1546	0	0	0	0	0	7.99786	0	0	0	0	0	0	0	0.01262	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	1.05219	2.80558	1.26568	7.04335	4.40184	11.96244	0	0.01823	0.4029	1.10246	0.37717	1.37651	0	1.97196	0.50058	2.38988	1.18961	0.41217	2.10539	0.53208	7.86838	2.38776	1.47047	0.06938	7.44972	1.98512	4.31533	1.74586	0.32684	20.96959	1.30067	1.05128	0.49447	2.76801	8.24032	1.39619	0.68777	0.66805	2.35742	0.28716	0.02216	2.16687	0.05841	1.3775	1.55034	1.78036	0.04099	0.15187	3.94983	3.4823	1.4789	0.98588	2.00596	0.02584	0.14273	0.24668	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	1.02884	2.19145	0.15529	13.95496	3.426	2.60376	0	0	0.24933	2.51014	1.09401	0	0	2.66367	0.23027	1.19598	1.94029	40.42204	18.17949	0.07903	0.61667	5.89941	18.17679	0.1882	0.31222	2.02178	0.92062	11.77414	0.2449	8.76549	1.52969	12.9006	13.42526	8.85924	6.75525	7.67775	5.58357	0.07625	8.30286	0.612	0.79917	0.42808	0.16477	3.2487	10.50049	3.00331	0.06135	9.8514	2.06672	1.01969	3.27853	0.42287	0.84566	0.09546	1.96777	2.49526	0.02997
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	0.98027	0.15089	0.13775	0.56478	0.11396	0.25878	0	0.13681	0.12474	0.04678	0.17975	0.28974	0	0.04612	0.58728	0.17926	0.02263	0.04665	0.08241	0.02217	0.51719	0.10693	0.17075	0.41261	0.02378	0.17333	0.18382	0.12692	0.01122	0.35877	0.45312	0.46779	0.45191	0.20407	0.50957	0.76965	0.43209	0.20829	0.07036	0.11402	2.13851	1.10904	0	0.30842	0.13567	0.31822	0.07456	0.86961	0.33549	0.02361	0.48364	0.21188	0.1277	0.19114	0.79609	0.07412	1.29335
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	0.97293	0.01613	2.64894	0.70609	0.24444	0.32537	0	0	0.34856	5.05659	0.04576	0.00662	0	0.07901	0	1.52501	2.29185	3.04003	8.73738	0.04354	0.00267	3.49436	2.92699	2.45184	16.56247	0	0	3.81805	0.10871	0.20519	5.30748	2.80087	0.04766	1.16453	0.08975	0.57404	0.00522	0	2.40853	0.63012	0.12578	0.00062	0.10016	1.02104	0.60116	5.32577	0.00641	13.27331	7.47114	0.83406	0.00965	0.13826	0.87423	0	0.01276	5.76034	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20	0.93374	0.1097	5.11251	0.24943	4.49088	0.42456	0	7.2029	1.25797	1.49757	0.25796	0.00179	0.80834	2.72011	2.11772	0.05598	4.74911	0.25501	0.66877	1.13372	0.72374	0.27864	1.5314	4.60123	0.44538	3.13234	0.29574	1.44319	0.45145	0.1726	2.57614	2.26862	0.17767	1.55934	0.27631	0.10098	0.32885	0.37404	0.08403	0.00088	0.60325	0.01124	0	0.02627	0.32214	0.03441	0	0.02857	0.18235	0.05968	0.13233	0.00398	0.3301	1.50229	2.82793	0.70731	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_632	0.93012	0.15645	0.10555	0	0.10054	0.08669	0	0	0.00671	0.49308	1.23329	0	0	0.20519	0.96653	0.04126	0	0.0757	0	0.05039	0.10424	0	0.10944	0.22421	0	0	0	0.05693	0	0.01414	0.01761	1.00688	0	0.05618	0.07481	0.03778	0	0.55359	8.63243	0	0.53141	0	0.47879	0	0.27612	0	0.02721	0	0.92113	0	1.97811	0	0	0.13009	0.8993	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0.90436	0.07129	0.72035	0.55617	1.26035	0.06269	0	0	0.19936	0.43674	1.14372	0.02391	0.08121	0.03049	1.85714	0.57717	0.37559	1.72421	0.10887	1.01308	1.06128	0.14897	0.28446	0.94013	0.37422	0.059	0.03674	0.14282	0.88355	0.22234	0.03614	0.83444	0.20057	1.61189	1.45251	0.10029	3.14121	0.16009	0.5859	0.12028	0.4021	0	0.19376	0.24831	0.77781	0.52772	1.78489	0.26699	0.52038	0.01135	0.63152	0.00155	0	0.0901	0.55997	0	0.14657
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0.7968	0.18426	0.39071	2.58499	0.79718	0.39464	0	0.49161	0.11244	0.47991	2.37172	0.37907	0.42404	0.06029	0.5122	0.74075	0.18378	2.6544	0.51575	1.19171	1.29074	3.05506	0.9437	1.66432	0.85724	0.15428	1.01911	0.84831	6.30812	1.3221	0.14295	3.08918	0.301	3.68452	7.51986	2.94228	0.9319	0.10361	2.09447	1.42801	1.35157	0.7629	0.74162	9.35404	0.62566	0.19755	1.30701	1.30114	4.17896	0.20074	1.69783	1.48883	0.54957	0.40463	1.09822	0.90538	4.06596
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	0.68016	0.40501	0.09685	0.59466	0.4594	0.12095	0	0.04576	0.07378	0.56052	0.22907	0.0601	0.10819	0.06895	0.20498	0.39098	0.67354	0.09134	0.05204	0.2329	0.37392	0.11866	0.64408	0.29373	0.25066	0.13365	0.41493	0.59787	0.64298	0.30992	0.19748	0.10862	0.09714	0.1648	2.45639	1.16713	0.80411	0.04393	0.52663	0.18451	0.08986	0.01416	0.08813	1.23925	0.43436	0.05811	0.63491	0.04621	0.53518	0.16233	0.68934	0	0.02193	0.17572	0.49263	0.02357	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.672	0.04263	0.11252	0.56442	0.24054	0.01888	0	0.04977	0.20981	0.05003	1.16362	0.00164	0	0.01425	0.33217	0.25009	0.80136	0.29098	0.08075	1.05966	0.16151	0.06885	0.13996	0.53715	0.50728	0.01307	0.02521	0.22464	0.43323	0.45639	0.04429	0.2259	0.02835	0.35448	0.55224	0.10167	0.85927	0.00741	0.29572	0.10177	1.08951	0.00067	0.15785	0.27135	0.41215	0.09956	0.15169	0.13031	0.90226	0.02196	0.17065	0.0053	0.00887	0.08659	0.11625	0.13745	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai	0.67026	0.08763	2.26527	0.37789	1.11171	0	0	0	0.1814	0.11407	0.20027	0.00192	0	0	0.55926	0.04449	2.34921	1.80498	0.13816	2.89871	0	0.0954	0.56352	2.50515	3.48896	0.09205	0.30574	0.6873	4.96552	0.49157	0.09229	0.24624	0.12951	1.20574	0.04865	0.17718	1.85399	0.04598	1.03515	0.05891	0.78038	0	0	0.01268	2.6399	0	0.25287	2.02293	1.08487	1.12943	1.97714	0	0.02696	0.30222	1.39807	0.04458	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens	0.64673	0.00474	0.07011	0.11997	0.02882	0	0	0	0.04182	0.07884	0.18618	0.06286	0.34551	0.00713	0.07845	0.10715	0.0773	0.12522	0.01792	0.11629	0.10919	0.17693	0.11127	0.12071	0.06267	0.07811	0.0336	0.11332	0	0.02262	0.17465	0.11438	0.12338	0.21362	0.95004	0.47261	0.13004	0.01737	0.12571	0.07888	0.9371	0	0.11751	0.39986	0.34582	0.30089	0.9312	0.04548	1.30839	0.02314	0.03839	0.01034	0.0397	0.0496	0.17156	0.00355	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_530	0.6449	0	0.1336	0.17278	0.74287	0.62652	0	1.93953	0.22763	0.63156	0.90095	1.83845	0.12059	0.19349	0.17196	2.47777	0	0.0628	0.09979	0.73419	3.62724	0.64364	0.27601	0.48654	0.13326	1.44037	3.8731	0.24404	0.04586	0.8287	0.09596	0.08827	0.05863	0	0.23147	0	0.26028	0.477	0.22365	0.14032	0.03454	1.71128	0.00348	1.13994	0.18476	0	0.0192	0.42506	0	0.26816	0.21885	0	0.54746	0.42362	0.85173	0.32035	2.64588
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_831b	0.60623	0	0	0	0	0	0	0	0.00159	0	0	0	0	0	0.02031	0	0	0	0.01108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis	0.56315	0.08497	0.06128	0.11115	0.09295	0.09025	0	0.01047	0.06437	0.13899	0.42224	0.18201	0.136	0.09614	0.17619	0.14344	0.24005	0.04312	0.07284	0.03473	0.22634	0.01074	0.15344	0.08604	0.23414	0.17575	0.03324	0.2101	0.33593	0.19665	0.11791	0.48507	0.21451	0.13629	0.50961	0.49715	0.17056	0.05771	0.17576	0.66122	0.23973	0.00442	0.18513	0.37674	0.65575	0.0652	2.11693	0.00675	0.60759	0.01391	0.10598	0.00122	0.00454	0.09623	0.24708	0	0.46859
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	0.561	0.05333	0.0853	0.03123	0.5	0.08965	0	0	0.20711	0.05565	0.12999	0.01478	0.01823	0.0044	0.26002	0.11951	0.3345	0.04839	0.03909	0.03325	0.03376	0.03657	0.06534	0.38972	0.07236	0.03628	0.01844	0.09564	0.27154	0.12508	0.09419	0.0858	0.0764	0.13558	0.97056	0.24005	0.16888	0.04038	0.14009	0.12438	0.12042	0.00705	0.05347	0.10078	0.03807	0.02487	2.89964	0.03044	1.21118	0.00813	0.06415	0.00383	0.03939	0.01387	0.3444	0.00186	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_413	0.53095	0.01512	3.96761	0	0	0	0	0	1.89783	0	0.61137	0	0	0	0	0	6.02423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1265	0	1.61267	0	0	4.90827	0	0	0	5.12988	0	0	0	0.12167	0	0	0.2245	0.53989	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	0.48418	0.09332	0.1478	0.44381	0.40909	0.03017	0	0	0	0.09856	0.68737	0.30386	0.3175	0.10612	0.08567	0.39365	0.14951	0.08779	0.01527	0.2285	0.62252	0.09997	0.22527	0.3608	0.17419	0.04072	0.04068	0.14364	0.39078	0.54474	0.09325	0.09356	0.14236	0.23889	1.70995	3.86711	1.18223	0	0.28631	0.9479	0.02476	0.31379	0.17225	3.82616	0.20246	0.21153	10.04528	0.01933	1.82273	0.0206	0.14048	0	0.01876	0	0.14555	0.01855	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.30444	0.31178	0.8843	0.30257	0.50403	0.1268	0	0	0.20548	0.38314	0.7529	0.12844	0.12188	0.1589	0.09107	0.0455	0.41622	0.45661	0.05777	0.30572	0.08559	0.29587	0.49928	1.3198	0.5312	0.04491	0.75556	0.46393	1.01014	0.23644	0.06247	1.60046	0.13997	0.72066	2.11379	0.80923	0.25771	0.0765	0.33766	0.29407	0.16788	0.1984	0.10245	1.00214	0.33991	0.09739	0.12656	0.29288	0.18061	1.32201	0.24264	0.41528	0.14889	0.11509	0.26862	0.10954	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_AM42_24	0.2928	5.82331	0.5825	0.13077	0.13852	3.51992	0	0.0446	1.18297	4.36676	3.25588	22.24865	0.0128	0.01455	1.36455	0.00925	0.13195	0.0946	0.3177	0.65105	1.36372	3.78545	1.78342	0.25633	0.51431	3.53205	4.0584	2.44424	0	0	1.10604	1.14812	0.97143	2.23952	0.61616	0.42582	0.01094	14.19878	0.10895	0.80048	0.62053	0.47233	0.01072	1.00967	0.54758	1.4599	0.03536	1.77099	0	1.65594	0.73839	0	2.40899	7.05745	0.74132	0.41384	0.00079
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_1092	0.27442	0	0.0962	0.06079	0	2.49892	0	0.76917	0.863	0.63853	1.29834	1.57714	0	0	0.44507	0.79092	0	0.01494	0.60594	0.8219	3.08035	0.5616	1.21724	1.46215	0.55362	2.7378	0.65408	1.17333	0	0	0.35191	1.84992	5.21916	9.18015	1.70635	0	0.90249	2.39895	0.06627	0.0506	3.71552	0	0.01051	0.28954	0.05245	0	0.01676	0.48085	0	0.10091	0.99017	0	0.46639	6.407	0.34463	0.04305	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_170	0.27304	0.00123	4.55787	0.01147	1.804	0.05354	0	2.25759	1.50599	2.10271	0.00153	0	0.07215	0.0821	1.62348	0	1.11553	0.1337	0.32448	0.16282	0.09546	0.00709	0.27776	0.66942	0.10599	0.0947	0	0.2053	0.26716	0.04819	1.31988	0.37867	0.00165	0.47665	0.00925	0	1.22194	0	0.1812	0	0.51313	0	0	0	1.17098	0	0	0.00702	0.93725	0	0.01498	0	0	0.15058	1.37536	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.25261	0.02987	0	0.02363	0	0.02412	0	0	0	1.22736	6.20231	0	0	0.06721	0	0.77934	0	0	0.66344	0.47847	0	0.20517	0.10672	0.03869	0.00768	0	0.12513	0.04878	0	0	0	0.60599	0.1153	0.05879	0.04912	0.03884	0.08228	0.205	0.01398	0.07516	0.01643	1.17604	0.01416	0.06438	0.00933	0.06689	0.04099	0.26943	0.10604	0.24868	0.32989	0.35733	0.28619	0	1.39685	3.38276	7.06509
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.23402	0.15474	0.57289	0	0	0	0	0.02195	0.48991	0.25144	6.53188	0	8.00055	0	1.63651	0	3.5258	0.10617	0.21807	3.27096	0.32951	0	0.04041	0.96027	0.26461	0.04557	0	0.18732	1.49772	0.41968	0.28059	0.05386	0.10888	0.16756	0.96917	0	1.22755	0	0.38421	0.02831	1.03804	0	0.0591	0.04182	0.69988	0	4.38358	0.69714	0	0	0	0	0	0.01975	0.82165	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea	0.21008	0	0.6926	0.62504	1.77905	2.2839	0	1.6671	0.71741	2.44904	2.96374	12.1671	0.28217	28.11287	1.2826	8.34496	0.11517	0.22373	1.8871	9.62785	1.29148	1.40011	1.27244	0.39104	0.06623	1.08234	2.38611	1.16871	0	2.41649	0.70635	0.66533	1.7705	0.42091	2.59906	1.60242	0.16156	2.23005	0.63199	0.28796	0.93628	14.11667	0.0205	0.29808	0.21295	4.12433	0.03705	0.18326	4.86552	0.59535	1.47223	0	17.119	1.35702	0.07175	1.44286	0.79816
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae	0.20403	0	0	0	0	0	0.14791	0.51077	0	0.12419	0.24452	0.09197	0	0	0.01735	0	0	0.12427	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05272	0.0371	0.26385	0	0.07704	0	0	0	0.02237	0	0	0.01319	0	0	0	0.16944	0	0	0	0	0	0.12162	0	0	0	0.00126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_zoogleoformans	0.18004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
