sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
DNA_extraction_kit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit
PMID	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303	30726303
number_reads	49129190	66957004	63561106	45612618	41694746	41783018	31917936	36155970	45484602	47240462	61883014	57795456	51811368	53021284	49610646	35549326	38631548	43416774	68206550	55128218	59833784	81479256	51647484	59184724	65833832	51223108	46013790	51183782	44053722	52860764	50536636	40071576	61339080	48801734	54012402	59714372	49263096	52228432	53978284	65690416	44429742	59764660	46550428	60117764	45777784	58164826	51492142	47966858	48135318	43881940	45925872	46949874	44977844	45499302	40735428	50390836	60055072
number_bases	4962048190	6762657404	6419671706	4606874418	4211169346	4220084818	3223711536	3651752970	4593944802	4771286662	6250184414	5837341056	5232948168	5355149684	5010675246	3590481926	3901786348	4385094174	6888861550	5567950018	6043212184	8229404856	5216395884	5977657124	6649217032	5173533908	4647392790	5169561982	4449425922	5338937164	5104200236	4047229176	6195247080	4928975134	5455252602	6031151572	4975572696	5275071632	5451806684	6634732016	4487403942	6036230660	4701593228	6071894164	4623556184	5874647426	5200706342	4844652658	4861667118	4432075940	4638513072	4741937274	4542762244	4595429502	4114278228	5089474436	6065562272
minimum_read_length	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
median_read_length	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
NCBI_accession	ERR2619707	ERR2619708	ERR2619709	ERR2619710	ERR2619711	ERR2619712	ERR2619713	ERR2619714	ERR2619715	ERR2619716	ERR2619717	ERR2619718	ERR2619719	ERR2619720	ERR2619721	ERR2619722	ERR2619723	ERR2619724	ERR2619725	ERR2619726	ERR2619727	ERR2619728	ERR2619729	ERR2619730	ERR2619731	ERR2619732	ERR2619733	ERR2619734	ERR2619735	ERR2619736	ERR2619737	ERR2619738	ERR2619739	ERR2619740	ERR2619741	ERR2619742	ERR2619743	ERR2619744	ERR2619745	ERR2619746	ERR2619747	ERR2619748	ERR2619749	ERR2619750	ERR2619751	ERR2619752	ERR2619753	ERR2619754	ERR2619755	ERR2619756	ERR2619757	ERR2619758	ERR2619759	ERR2619760	ERR2619761	ERR2619762	ERR2619763
curator	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi	Arianna_Bonetti;Fatima_Zohra;Paolo_Manghi
BMI	19.06	17.57	17.1	17.14	21.02	20.49	21.23	16.62	19.35	22.7	20.41	21.83	18.42	24.53	22.49	22.31	22.35	20.11	20.55	20.92	26.98	24.69	16.35	20.87	23.64	21.39	19.15	19.47	19.96	21.4	20.87	18.5	29.54	18.32	22.94	27.4	23.65	17.17	17.94	19.87	23.94	21.23	23.31	21.16	22.09	25.93	NA	24.5	33.32	21.37	30.86	19.8	22.7	19.77	26.84	19.66	34.45
location	Bandevouri	Bidou	Bidou	Bidou	Bidou	Bidou	Bidou	Bandevouri	Bandevouri	Bandevouri	Bandevouri	Makouve	Makouve	Makouve	Ndtoua	Ndtoua	Bandevouri	Bandevouri	Bandevouri	Bandevouri	Bandevouri	Afan_Essokie	Afan_Essokie	Afan_Essokie	Afan_Essokie	Afan_Essokie	Afan_Essokie	Afan_Essokie	Afan_Essokie	Afan_Essokie	Akak	Akak	Akak	Akak	Akak	Akak	Akak	Akak	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie	Ebodie
population	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bagyeli	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu	Bantu
