	SRR3992955	SRR3992956	SRR3992957	SRR3992958	SRR3992959	SRR3992960	SRR3992961	SRR3992962	SRR3992963	SRR3992964	SRR3992965	SRR3992966	SRR3992967	SRR3992968	SRR3992969	SRR3992970	SRR3992971	SRR3992972	SRR3992973	SRR3992974	SRR3992975	SRR3992976	SRR3992977	SRR3992978	SRR3992979	SRR3992980	SRR3992981	SRR3992982	SRR3992983	SRR3992984	SRR3992985	SRR3992986	SRR3992987	SRR3992988	SRR3992989	SRR3992990	SRR3992991	SRR3992992	SRR3992993	SRR3992994	SRR3992995	SRR3992996	SRR3992997	SRR3992998	SRR3992999	SRR3993000	SRR3993001	SRR3993002	SRR3993003	SRR3993004	SRR3993005	SRR3993006	SRR3993007	SRR3993008	SRR3993009	SRR3993010	SRR3993011	SRR3993012	SRR3993013	SRR3993014	SRR3993015	SRR3993016	SRR3993017	SRR3993018	SRR3993019	SRR3993020	SRR3993021	SRR3993022	SRR3993023	SRR3993024	SRR3993025	SRR3993026	SRR3993027	SRR3993028	SRR3993029	SRR3993030	SRR3993031	SRR3993032	SRR3993033	SRR3993034	SRR3993035	SRR3993036	SRR3993037	SRR3993038	SRR3993039	SRR3993040	SRR3993041	SRR3993042	SRR3993043	SRR3993044	SRR3993045	SRR3993046	SRR3993047	SRR3993048	SRR3993049	SRR3993050	SRR3993051	SRR3993052	SRR3993053	SRR3993054	SRR3993055	SRR3993056	SRR3993057	SRR3993058	SRR3993059	SRR3993060	SRR3993061	SRR3993062	SRR3993063	SRR3993064
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	0.01282	0	0.01796	0.02957	0.07715	0.01457	0.00229	0.22336	0.13565	0.04118	0.045	0.09679	0.03262	3.67502	0.02809	0.83856	0.09229	0	0.01634	0	0.00253	0.23494	0.0266	0.17589	0.45102	0.32229	0.01468	0.41706	0.01262	0.2618	0.04109	0.03732	0.10033	0.49275	0.11822	0.10054	0.03735	0	0.04164	0.199	0.00939	0.03197	0.33376	0.12315	0	0.00334	0.00064	0.04981	0.03931	0.14161	0.06132	0.0733	0.02821	0.31718	0.0207	0.09815	0.29651	0.0773	0.12352	0.11374	0.1704	0.10707	0.11715	0.46755	0.73628	0.16486	0.01771	0.37948	0.4548	0.06629	0.42765	0.83597	0	0.02945	0.86447	0.08508	0	0.0845	0.13976	0.08309	0.83856	0.09638	0.04462	0.02844	0.19583	0.00228	0.29526	0.11662	0	0.01211	0.09516	0.21948	0.00618	0.09214	0.15325	0.28222	0.06879	0.0179	0.06014	0.00102	0.48073	0.03007	0	0.05118	0.15745	0.01967	0.01981	0.01869	0.00628	0.06458
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_multacida	0.011	0	0	0	0	0.00556	0	0	0	0	0.00221	0.2919	0	0	0	0.00151	0	0	0	0	0	0	0	0.02376	0.0026	0.51711	0.02715	0	0.06021	0	0	0	0	0	0.05292	0.00255	0.01136	0	0	0.00538	0	0	0	0.00382	0	0.00102	0	0.18992	0.04865	0.01061	0	0	0	0	0.00194	0	0.03337	0	0	0	0	0	0	0.0574	0	0	0	0	0	0	0	0	0	0.00678	0.00927	0.00238	0.00907	0	0	0.001	0	0.02314	0	0.00208	0.00151	0	0	0	0	0.00654	0	0.00655	0	0.00378	0	0	0.01431	0.01077	0	0	0	0	0	0	0.01938	0.00286	1.97924	0	0.00566	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.01064	0.10569	0	0	0	0	0	0	0	0.01412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00607	0	0	0	0	0	0	0	0	0	0	0.09409	0.0104	0	0	0	0	0	0	0	0.00581	0.00218	0	0	0	0	0	0	0.02953	0	0	0	0.01618	0	0	0.18231	0	0	0	0	0.02033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06647	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00231	0	0	0	0	0.06247
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	0.01059	0	0	0.05946	0.04082	0	0.17175	0	0.01227	0.00469	0	0.58089	0.26486	0	0.50865	1.79324	4.38012	0	0.34205	0.30532	0.00498	0.01377	0.00692	0.16635	0	0.07399	0.08958	0	0	0.21512	3.84479	0.60512	0.4233	0.08549	0	0	0	0	0.00819	0.59053	0	0.15388	0.04096	0.01927	0	0.10427	0	0	0.00356	0	0	0.36482	3.17683	0.85101	0.05275	0.01172	0.06519	0.03887	0.01885	0.28757	0	0	0.03009	0	0.82502	0.00905	0	0.1855	0.77355	0.30274	0	0.18832	0.02128	0.12018	0.02445	0	0	0.62252	1.16438	0.15017	0	0.19407	0.01695	0.13033	0.01744	0	0.00252	0	0	0	0	0	0.01997	0.13709	0.5956	0.02246	0.30504	0.00904	1.10062	0.8291	0.00026	0	0.53663	0	0	0.05267	0.62676	0	0.2232	0.03855
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.00977	0.35336	0.66703	0.15123	0.33197	0.60941	0	0.25348	0.21495	0.22755	0.00143	0.25782	0.03585	0	0.09564	0.03589	0.01044	0.08067	0	0	0.00476	0.13663	0.0672	0.0015	0.01968	0.08245	0.01479	0.02589	0.0102	0.04059	0	0.18803	0.57983	0.10851	0.04526	0.14108	0.22492	0.37986	0	0.62385	0.06036	0.0548	0	0.21944	0.00465	1.13394	0.08833	0.03811	0.13074	0.02645	0.06589	0.11282	1.12064	0.49341	0.00498	0	0	0.11818	0.32535	0.63216	0	3.28522	0.34939	0.01007	0.16178	0.19675	0	0.032	0.06349	0.54084	0	0.88796	0.00583	0.01229	0.06631	0.06264	0.11153	0	0.41061	0.31087	0	0.02883	0.06855	0.11252	0.06052	0	1.40905	0.708	0	0.39867	0	0.34597	1.08229	0.00324	0.02059	0.29183	0	0.2102	0.53549	0.0154	0.08502	0.04612	0.79318	0	0.04783	0.02822	0.18291	0.48495	0.08004	0.55816
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.00789	0.05554	0.05502	0.04896	0.94905	0.06536	0.00653	0.0564	0.02281	0.45146	0.06869	0.21554	1.41314	2.23352	0.00862	0	0.04412	0.0097	0.43064	0.02211	0.04592	0.04071	0.02854	0.02428	0.06186	0.01215	0.06372	0.0673	0.033	3.52655	12.0116	0.05744	0.4627	0.08456	0.00652	0.7753	0.04347	0.03576	1.10627	2.16302	0	0.06173	0.00364	0.0036	22.17776	0.22805	0	0.02405	0.08754	0.0068	0	0.09022	1.45174	0.82506	0	0.01473	0	0.07277	0.12077	0.0105	0.22678	2.1102	0.77471	0.00332	6.22902	0.49181	34.57742	0.00875	1.64363	1.06643	0.10872	1.13281	0.20927	0.21055	0.14428	0	0	0.01468	0.63497	0.12054	3.57576	0.23173	0.1566	0.01734	0.02374	2.50664	0.00463	1.8595	5.04489	0.00724	0.00428	0.20699	1.33627	0.04989	0.52681	0	0.07076	0.04845	1.99486	0.07815	0.04638	3.49332	0.03672	0.18182	0.00943	0.02495	0.06398	2.44509	0.01238	0.08064
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus	0.00736	0	0.00133	0	0.02997	0	0	0.00127	7e-04	0	0.00533	0.02633	0.0065	0	0.00122	0	0	0	0.00488	0	0	0	0	0	0	0.00269	0	0.00437	0	0	0	0.00434	0.00385	0	0	0	0.01111	0.00436	0.00561	0.00253	0	0.01323	0	0	0	0.01982	0	0.00245	0.00353	0	0	0	0.02757	0.0114	0	0	0	0.00041	0.00256	0.05107	0.00573	0.00373	0	0	0	0	0	0	0.01782	0.00727	0	0	0	0	0	0.00131	0	0	0.10769	0	0	0	0	0.0037	0.00544	0	0	0	0	0.09745	0	0.01375	0.00752	0	0	0.0622	0	0.00149	0.00219	0	0	0	0.00134	0	0	0.01962	0	0	0.01139	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	0.00732	0.00373	0	0	0	0	0	0.00277	0	0	0	0	0	0	0.03049	0.01021	0	0.01368	0	0	0	0	0	0	0	0	0	0	0	0.00514	0	0.00228	0.00668	0	0.01171	0	0.01061	0	0	0	0	0	0	0	0.09357	0	0	0	0.00739	0	0	0.00526	0	0	0	0	0	0	0.01898	0	0.00259	0	0	0	0	0	0	0.02952	0	0	0	0	0	0	0	0.02015	0.02373	0	0.0539	0.01246	0.00608	0	0.01424	0.02231	0	0.00208	0.00016	0.00769	0.29465	0.01417	0	0.00465	0.00158	0	0	0	0	0.00045	0	0	0.00225	0.01871	0.00292	0.1804	0	0.00266	0.01196	0	0	0.00276
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes	0.0072	0	0	0.01591	0.00179	0	0.00232	0.00426	0.01398	0	0.02527	0.00963	0.00026	0	0.00411	0.00349	0	0.00596	0.0057	0.00572	0.02745	0	0.02849	0.02399	0.01284	0.02276	0.05086	0	0.03725	0.00483	0	0.00115	0.00074	0	0.0039	0	0.02453	0	0.00111	0	0.01299	0	0.00265	0.01517	0	0	0.00244	0.09225	0	0.10304	0	0	0.00264	0	0.06849	0.0022	0.04121	0.01085	0.00555	0.00325	0.00427	0	0	0	0	0	0	1.27562	0.00341	0.00239	0	0	0	0.00454	0.00176	0.03451	0.01881	0.01305	0	0.0122	0	0	0.00162	0.01836	0.00573	0	0	0	0	0.02945	0	0	0	0.03625	0	0	0.00448	0	0	0	0.00135	0	0.00896	0.01806	0.00613	0.0014	0.05293	0	0.01234	0.00036
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans	0.00678	0	0	0	0	0.00723	0	0.00037	0	0	0	0	0.00654	0	0.01115	0	0.00343	0	0	0	0.00434	0.01505	0	0	0	0.00349	0	0	0	0	0	0.00465	0.01158	0	0	0.01077	0.01059	0.00654	0.02622	0	0.00166	0	0	0.00519	0	0.00216	0.05113	0.01179	0.00481	0	0	0	0	0.00647	0	0	0	0	0.00366	0	0.0025	0	0	0.00408	0	0.00063	0	0	0	0.02587	0	0	0	0	0	0.01348	0	0.00852	0	0	0	0	0	0	0	0	0	0	0	0	0.02101	0.02525	0.00179	0	0	0	0	0	0	0	5e-04	0	0	0.01745	0	0	0.00479	0	0.0176	0.06595
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.00589	0.03874	0.03954	0.01041	0.00141	0.00856	0	0.01382	0	0.00956	0.00098	0.0264	0.00432	2.07712	0.00151	0	0	0.07433	0.01213	21.94979	0.07322	0.03045	0.01611	0.00744	0.03028	0.0066	0	0.34713	0.02707	0.00211	0.00274	0.00401	0.00413	0.00965	0	0.0198	0	0.02657	0	0.00828	0	0.01924	0.0011	0.01572	0.01047	0	0	0.00937	0.00421	0.01447	0	0.0955	0.0167	0	0	0.01652	0	0.34577	0	0	0	4.63841	0.36063	0	0.03001	2.67056	0.00207	2.203	0.15035	0.08612	31.88005	0.01543	0.09899	0.05037	0.03908	0	0	0.00452	0.02458	0.00188	0.00216	0.07072	0.11417	0.05237	0	0.00759	0.01235	2.10497	0.03986	0.00282	7.19467	0.00917	0.16306	0.03509	2.35094	0.12954	0.01915	0.03411	0.07367	0.02744	0.00763	0	0.02224	0.00971	0	0.00473	0.00768	0.00986	0.01226	0.00177
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_mucosae	0.00468	0	0	0	0	0	0	0.00416	0	0	0.05297	0	0	0	0	0.00559	0	0	0	0	0.00277	0.02353	0	0	0	0.01517	0	0	0	0	0	0	0	0	0.18046	0.00273	0.02139	0	0	0	0	0	0	0	0	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0.14164	0	0	0	0	0	0	0.04889	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01275	0	0	0.00513
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	0.00451	0.34863	0.02311	0.05425	0.04254	0.02342	0.59591	0.01499	0.0712	0.01071	0.12531	0.13096	0.18693	0	0.10239	0	0.00057	0.02476	0.02073	0	0.06994	0.04613	0.02242	0.0084	0.04493	0.06228	0.00216	0.1822	0	0	0	0.20189	0	0.00559	0.01087	0	0.10663	0.5701	0.05098	0	0.01002	0	0.00263	0.15209	0	0.06302	0.19601	0	0.01045	0.00763	0.02096	0.0261	0.01446	0.85527	0	0.0221	0.01209	0.03731	0.02413	0.02451	0.41473	0	0.79321	0.01066	0.11926	0	0	0	0.10078	0	0	0	0	0	0	0.0415	0.06604	0.09336	0	0.2577	0.48752	0.07291	0	0.08741	0.03304	0	0	0.08453	0	0.05194	0	0.13596	0.04989	0.00867	0.02649	0	0.01121	0.16149	0.00205	1.37232	0.03634	1.19828	0.1429	0.09158	0.42761	0.44099	0.04307	0	0.17082	0.20507
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	0.02646	0.00144	0	0	0	0	0	0.03592	0.01483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00716	0	0	0	0	0	0.01185	0	0	0	0	0	0	0	0	0	0	0	0.02844	0	0	0.01785	0	0	0	0.01927	0	0	0	0	0	0	0	0	0	0.2268	0	0	0	0.00419	0	0	0.00279	0.01236	0	0	0.00682	11.29403	0.01931	0	0.02464	0	0	0	0.01849	0	0	0	0	0.05083	0	0	0	0	0	0	0
