	SAM_01	SAM_02	SAM_03	SAM_04	SAM_05	SAM_06	SAM_07	SAM_08	SAM_10	SAM_11	SAM_12	SAM_13	SAM_14	SAM_15	SAM_16	SAM_17	SAM_18	SAM_19	SAM_20	SAM_21	SAM_22	SAM_23	SAM_24	SAM_25	SAM_26	SAM_27	SAM_28	SAM_29	SAM_30	SAM_31	SAM_32	SAM_33	SAM_34	SAM_35	SAM_36	SAM_37	SAM_38	SAM_39	SAM_40
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii	0.26703	0.01299	1.94183	0.14435	0.05729	1.53305	0.08368	0.48113	0.00467	1.01947	0.55649	0.23334	0.28041	0.27782	0.0304	0.07083	1.75226	0.018	0.23535	0.19392	0.28809	0.58477	0.01697	0.67716	0.1995	0.52843	0.01257	0.01989	0.37572	1.95051	0.21118	0.26078	0.01931	0.04251	1.27351	1.47877	0.03328	0.19797	0.01888
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.25747	0.20171	0.2898	0.16417	0.37382	0	0	0	0.04046	0	0	0.09817	0	0	0	0.06395	0	0.10001	1.02412	0	0.28824	0.26255	0.15259	0	0.13676	0	0.21997	0.16481	0	0	2.0386	0.30908	0.17336	0.07376	0.15739	0	0.10561	0.21426	0.23638
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens	0.25505	0	0	0.00437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01936	0	0	0	0	0.10872	0.07003	0	0	0	0	0	0	0	0	0	0	0.00293
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	0.25392	0	0.00566	0.03373	0	0	0	0	0	0	0	0	0.00583	0	0.00806	0	0.0032	0	0.00358	0.0066	0.00029	0	0.00214	0	0.00198	0.0141	0	0	0.00971	0	0.00736	0	0	0.01277	0.11635	0.00071	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	0.23935	0	3.65541	0.38225	1.76043	0.01281	0	0	0.09246	0	0	0.00215	0	1.23965	0	0.61638	0	0.53759	0	3.42664	0.06559	0.43367	0.18434	0	1.07435	0	1.38685	1.00398	0	0	0	0	0.3771	0	0.23812	0.10997	0.65313	0	0.66948
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	0.23606	0.53395	0	0.23422	0	0	0	0	0	9e-04	0	0	0.09371	0	0.077	0.06219	0.18928	0.0517	0	0	0.89256	0.001	0.02271	0	0	0	0.10111	0.07888	0	0	0.00185	0.23278	0.33705	0.15134	0	0.04704	0	0	1.03549
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta	0.22831	0	0.16866	0.08322	0.36052	0	0	0.00202	0.02103	1.3818	0	0.05003	0.07073	0.10373	0.12196	0.00135	0.0024	0	0.45171	0.07171	0.05205	0.08901	0.0015	0.29014	0.14621	0.2986	0	0.00153	0.07737	0.00138	1.01831	0.45047	0.02089	0.16766	0.10202	0.05778	0.03504	0.032	0.01096
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	0.22062	0	0	0	0	0	0	0.00127	0	0	0	0	0	0	0.03283	0	0	0	0	0	0	0	0	0	0	0.00258	0	0	0.00334	0	0	0.00393	0	0	0.00534	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0.20914	0.00508	0.13357	0.01875	0	0	0	0.18782	0.0236	0	0.11871	0	0.09143	0.0999	0.10115	0	0	0.00688	0	0.16479	0	0.29465	0.00334	0	0.06686	0	0.02626	0.04022	2.29685	0.13355	0.09648	0	0.13473	0.03252	0.41335	0	0	0.28144	0.0658
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	0.20071	0.02495	1.59588	0.04783	0.01702	0.19121	0.08894	0.00379	0.08198	3.43553	0	0.54287	0.1162	0.10984	0.96982	0.14146	0.11973	0.19732	0.32132	0.29116	0.23443	0.61227	0.04654	5.06523	0.03963	6.8052	0.05824	0.13713	3.37773	0.07986	2.29144	0.1611	0.07485	1.07335	0.98465	0.06106	0.088	0.20391	0.11028
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.18349	0.01197	0.00175	0.00153	0	0	0	0.00144	0	0.00116	0	0	0	0	0.01386	0	0	0	0.00772	0	0	0	0	0	0.0011	0.00512	0	0	0	0	0.01796	0	0	0	0.00355	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	0.14705	4.36429	0.07421	0.35718	0.83495	0	0	0	2.10874	0.07239	0	0	2.23359	1.94889	0.00434	0	0	2.03657	0	0	0.29057	0	0.84277	0	0	0	0.6454	0.55972	0.11438	0.19892	0.38358	4.91264	0	0	0.2294	0.20105	4.88898	0.19131	1.44359
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	0.13664	0.10442	0.41243	1.03573	0.08247	0	0	0.04759	0.0486	0.19374	0	0.07681	0.40761	0	0	0.13062	0.01122	0.84569	0	0.13266	0.92021	0.02111	0.70466	0	0.15278	0	0.28641	0.21089	0.08446	0	0.89878	0	0.2775	0.11065	0.58157	0.02557	0.1846	0.22266	0.06199
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus	0.12591	0.02007	0.04662	0.09774	0.38959	0	0	0.04055	0.01824	0.60597	0	0	0.05611	0	0.02494	0.00732	0.00441	0.02235	0	0.01972	0.17878	0	0.02922	0.02643	0.14695	0	0.04184	0.03101	2.12084	0.03751	0.0617	0	0.01946	0.0596	0.03409	0	0.03026	0.0819	0.01222
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_471	0.12586	0.00739	0	0	0.00052	0	0.00013	0	0	0	0	0	0	0.00081	0	6e-05	0	0	0	0	0.00153	0	0.00026	0	0	0	0.01408	0.00919	0.0014	0	0.00458	0	0	0	0	0	0.00053	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.12359	0.00428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01161	0	0	0.00206	0	0.00278	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_299	0.12195	0	0.35566	0	0	0	0	0	0	0	0	0	0	0	0	0.00485	0	0	0	0.08313	0.05216	0	0	0	0.11445	0	0	0.00398	2.61631	0	0	0	0	0	0	0	0	0.01647	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	0.11703	0.00094	0.06458	0.08202	0.00469	0.28901	0	0	0.01754	0.0932	0	0.04447	0.04806	0.04965	0.2235	0.00273	0.04065	0.02011	0	0.00643	0.34114	0.0406	0.02399	0.26436	0.00286	0.09492	0.00215	0.00279	0.09812	0	0.02809	0	0.00204	0.02881	1.34659	0.22981	0	0.09338	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	0.11345	0.00256	0.0074	0	0	0	0	0.00186	0	0	0	0	0.00376	0.00115	0.0026	0	0	0	0.00778	0.0012	0	0	0	0	0	0	0	0	0.00195	0	0.02286	0	0	0.00247	0.00112	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus	0.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139	0	0	0	0	0	0	0	0	0	0.00472	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0.10396	0.93817	0	0.64705	0.19279	0	0	0	0.09755	4.23314	0	0	0.19973	0	0.43293	0.84642	0	0.1451	0.18362	1.37129	1.2479	0.91383	0.2122	0	0.45347	0	0.56847	0.4312	0	0	6.90828	0.23101	0.19561	1.68811	0.3277	0.01085	0.08129	2.91636	0.04966
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.10019	0.02298	0.0348	0.11147	0.14048	0	0	0.05326	0.00793	1.04281	0	0	0.11296	0	0.03074	0.00213	0.00068	0.01163	0	0.02133	0.10947	0	0.06583	0.02173	0.18065	0	0.03234	0.02313	0.83363	0.03804	0.07261	0	0.00716	0.12353	0.0129	0	0.01796	0.02565	0.01407
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	0.07634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00217	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0.07605	0.47542	0.01933	1.06973	0.01709	0	0	0.48358	0.19138	0.24415	0.07098	0.05072	0.00977	0	0.09944	1.28051	0.20124	0.09034	0	0.94537	0.06864	0.004	0.18514	0	0.1254	0	0.05386	0.10987	0	0	1.37561	0	0.32605	0	0	0.14898	0.50598	1.28255	0.02274
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.07091	0	0	0.04926	0	0	0	0	0	0.00106	0	0	0	0.02551	0	0.01007	0	0	0.42099	0	0	0	0	0	0	0	0	0	0.19323	0	0	0	0	0	0	0	0	0	0.00186
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	0.07084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03497	0	0	0	0	0	0	0	0	0	0.00752	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.06547	0.10445	0.0476	0	0.01121	0.03533	0.0492	0.17723	0.0078	2.29398	0.00124	0.05689	0.01527	0.07391	0.38571	0	0.00794	0.00807	0.14359	0	0.18364	0.00733	0.00947	2.20297	0.92304	0.03681	0.11691	0.06578	0.01325	0.39798	0.63242	0	0.00426	0.01421	2.27264	0	0.00083	0.00965	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum	0.06313	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01324	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01724	0	0.00396	0	0	0	0.00183	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0.06262	0	0.06637	0.04276	0.05628	0.17383	0	0	0.01	0.23401	0	0.01747	0.04482	0.01286	0.13973	0.00523	0	0.01753	0.21666	0.09212	0.00847	0.0329	0.01005	0.20256	0.04032	0.04922	0	0.0014	0.03677	0.00173	0.29404	0.0528	0.01206	0.03105	0.07351	0.00406	0.00653	0.04445	0.00515
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis	0.0618	0	0.03767	0.05849	0	1.7711	0	0	0.00261	0.73082	0	0.08048	0.00228	0.08072	0	0	0.05954	0.00284	0	0.00423	0.0057	0.0184	0	0.21941	0	0.20226	0.00053	0.01709	0.75486	0.03547	0.09941	0	0	0.05901	0.07076	0.00461	0.00872	0.04847	1e-04
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0.05658	0.19646	0	0	0	0	0	0	0.00104	0	0.00186	0	0.01114	0.00304	0	0	0	0	0	0	0	0	0	0	0.06169	0.12349	0.03293	0.03278	0	0	0	0.04056	0.00206	0	0.00273	0	0	0	0.03481
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus	0.05537	0.01831	0.10423	0.14546	0.01775	1.28221	0.15968	0.01243	0.00394	0	1.72933	0.36624	0.01486	0.10979	0	0.01347	0.04319	0.00634	0.36874	0.30938	0.10272	0.00523	0.00545	0.17677	0.11165	11.82271	0.01795	0.01731	2.51422	0.17608	0.2182	0.85729	0.00853	0	0.06334	0.04847	0.0098	0	0.49794
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	0.05379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054	0	0	0	0.01338	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	0.05226	0.08867	0.00469	0.0337	0	0	0	0	0	0.07675	0	0	0.013	0	0.23944	0	0	0	0.0078	0	0	0	0	0	0	0	0	0.00239	1.01077	0	0	0	0	0.03781	0.00091	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	0.04955	0.07029	0	0.00836	0	0	0.00914	0	0	0	0	0	0.00518	0	0	0	0	0	0	0	0	0	0	0	0.00219	0	0.07083	0.08433	0	0	0	0	0.00438	0	0.00256	0	0	0	0.02258
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum	0.04658	0	0.00262	0.03314	0.00388	1.20543	0.00129	0.1608	0	0.0035	0.03738	0.04044	0	0.36741	0.01807	0	0.09031	0	1.20101	0.01715	0	0.00158	0	0.66644	0	1.0557	0.0183	0.01598	0.36377	0	0	0.13779	0.00086	0.00974	0	0.19413	0	0.10965	0.4564
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	0.04513	0	0	0.79392	0	0.21713	0	0	0.02888	0	0	0	0	0	0.13754	0.0198	1.01489	0	0	0	0	0	0	0	0	0	0.90693	0.68467	0.01168	0.01885	0	0	0	0.01265	0	0	0.18804	0.46882	0.54214
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_timidum	0.04478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0.04354	0	0	0.01088	0.00031	0	0	0	0	0	0	0	0	0	0.00344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum	0.041	0	0.01076	0.02253	0.00143	0.09081	0	0	0.00148	0.28615	0	0.4191	3e-04	0.0161	0.04771	0.03446	0	0	0	0.0497	0.11719	0.03076	0.00372	0.05119	0.00553	0.29395	0.00321	0.00194	0.50627	0.00536	0.01339	0.0018	0.07502	0.28045	2.157	0	0	0.01354	0.07487
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	0.0397	0	0.05216	2.50466	0	0	0	0	0	0	0	0	0	0	0.21045	0	0	0	0	0	0	0.002	0.03302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00095	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum	0.03766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09231	0.05177	0	0	0	0	0	0	0	0	0	0	0.04461
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus	0.03705	0.04709	0.0213	0.11565	0.05645	0.00099	0.12063	0	0.1553	0.17245	0	0	0.0152	0	0.43044	0.0041	0.64282	0.00687	0.00497	0.98268	0.04815	0	0.15198	0.031	0.00537	0	0.01707	0.11482	0.21139	0.05076	0.06975	0.12924	0.02387	0.56951	0.27528	0.51096	0.00864	0.27368	0.00471
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	0.03669	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03385	0	0	0	0.00469	0	0	0	0	0	0	0	0	0	0	0	0.00574	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	0.03617	0	0.00686	0.07812	0.00416	0	0	0	0.01889	0.12291	0	0.03822	0	0.00487	0	0.00679	0	0.01963	0.00635	0.01848	0.01435	0.00465	0.0038	0	0.0187	0	0.00759	0.00655	0.08135	0	0.14845	0	0.00679	0.04232	0.05096	0	0.02355	0	0.04268
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum	0.03456	0	0.00205	0.01368	0.0022	1.2781	0	0	0	0.00364	0.51989	0.00514	0.0037	0.02396	0.00822	0	0.00248	0	0.04929	0.00809	0	0.18612	0	0.02114	0	0.01563	0	0	0.80463	0	0.08874	0.10975	0.00094	0.0015	0.16331	0.02418	0	0.09931	0.05525
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	0.03273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	0.03221	0	0	0	0	0	0	0	0	0.05393	0	0	0	0.00041	0	0	0	0	0.07962	0	0	0	0	0	0	0	0	0	0.01364	0	0.10839	0	0	0	0.01063	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_bolteae	0.02933	0	0.00218	0.00876	0.00242	0.26146	0.08385	0.03089	0.00081	0.07334	0.08081	0.03586	0.1265	0.04389	0.00146	0.00151	0.00995	0	0.0027	0.0071	0.00637	0.03574	0	0.01155	0.0134	2.93469	0.00014	0.01258	3.10205	0.03265	0.04246	0.17521	0.25833	0.01748	0.06562	0.00209	0	0.10499	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0.02734	2.23721	3.20231	0	1.0147	0	0	0.99771	0.49201	0.10203	0.12674	0.69931	0.08841	1.1085	0.52857	1.3571	0	1.44715	0	2.81801	0.84017	0.35037	0.60494	0.38386	1.2781	0	0.09033	0.05885	0.99316	0	4.03717	3.12592	0.02892	2.97027	0.04087	0.07906	1.00875	1.51343	1.06767
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	0.02718	0.0233	0	0	0	0	0	0	0	0.00222	0	0	0	0	0.01366	0	0	0	0.00253	0.00135	0	0	0	0	0	0.02097	0	0	0.0594	0	0	0	0	0.0481	0.0023	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_lavalense	0.02588	0	0.00369	0	0.00557	0.08085	0.00375	0	0.00547	0.00324	0	0.01149	0.03855	0.01251	0	0	0.00044	0	0	8e-05	0.00512	0.00921	0	0.00108	0	0	0.01019	0.03071	0.61766	0.27493	0.00605	0.13393	0	0.00657	0.07048	0	0	0.01604	0.00427
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum	0.02556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00472	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	0.02435	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01241	0	0	0	0.14799	0	0	0	0	0	0	0	0	0	0	0	0.00016	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0.02418	0	2.78148	0.46529	0.70069	0	0	0.16476	0	0	0	0	0	0	0	1.35899	0	0.34909	0	4.79672	0.31242	0.21557	0.19014	0	0.36201	0	0.08598	0.06361	0	0	0	1.1736	0.14025	0.92453	0.96773	0.29367	0	0.34051	0.69537
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae_CAG_59	0.02096	0	0.00766	0	0	0.68128	0.03567	0	0	0	0	0.00026	0.00817	0.00386	0	0	0.00728	0	0	0.00858	0.00249	0	0	0	0.03569	0	0	0.00696	0	0.21057	0	0.00707	0.01445	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D5	0.01934	0.014	0	0	0	0.00059	0	0	0.01002	0.12115	0	0	0.00206	0.01247	0	0	0	0	0	0	0	0	0.03102	0	0.00868	0	0	0.03087	0	0	0.02067	0	0	0.06366	0	0	0.00619	0.53409	0.00215
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_145	0.01912	0.00311	0	0	0	0	0	0	0.00861	3.14136	0	0.43994	0.01122	0.20468	0	0.01492	0.00864	0.66315	0	0.2579	0.05857	0	0.01157	0	0	0	0.00274	0	0.31812	0.02554	0.1031	0.0367	0	0.0294	0	0.00291	0.00295	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	0.01885	0	0	0	0	0	0	0	0.09508	0.00231	0	0.03952	0	0.17218	0	0	0	0	0	0	0	0.06199	0	0	0.10143	0	0.26643	0.31191	0	0	0	0.08067	0	0.10701	0	0.03525	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0.01785	0.02567	0.01049	0	0	0	0	0	0	0	0	0	0	0	0.09139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098	0	0	0.00163	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella_dolichum	0.01695	0	0.1428	0	0	0	0	0	0	0	0	0	0	0	0	0.00186	0	0	0	0.02451	0	0.04468	0	0	0.0027	0	0.02356	0.01382	0	0	0	0	0.01638	0.00561	0	0	0	0.01153	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	0.01673	0.17759	0.40532	0.06205	6.04674	0	0	0	0.60543	6.7487	0	0.75853	0	0	1.61982	0.67991	0	0.78306	9.82094	5.15757	0.05155	0.88124	0.98882	0	1.57811	0	2.34571	1.80788	0	0	6.54016	0	0.58905	1.7145	1.37474	0.07952	2.0962	1.63411	0.00184
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum	0.01635	0	0.03932	0	0	1.33937	0.03141	0.02352	0	0.11361	0.05067	0.01975	0	0.07752	0.05641	0.00727	0.00294	0	0.71976	0.01353	0.00659	0.02099	0	0	0	0.03552	0	0	0.29768	0.02438	0.02518	0.06079	0.01207	0.01562	0.01273	0.06187	0	0.04418	0.00821
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	0.01541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04485
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica	0.0152	0	0.51731	0	0	0	0	0	0.00144	0	0	0	0	0	0	0.01457	0.00398	0.00343	0	0.00636	0.03097	0.38503	0	0.23661	0.02147	0	0.00125	0	0.65957	0.00852	0.16402	0.00315	0.009	0.00062	0.28939	0	0	0.01252	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_dolichum_CAG_375	0.01389	0	0.12566	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0	0	0	0.02388	0	0.03991	0	0	0.00451	0	0.0157	0.01009	0	0	0	0	0.01787	0.00506	0	0	0	0.00632	0
