	SAM_01	SAM_02	SAM_03	SAM_04	SAM_05	SAM_06	SAM_07	SAM_08	SAM_10	SAM_11	SAM_12	SAM_13	SAM_14	SAM_15	SAM_16	SAM_17	SAM_18	SAM_19	SAM_20	SAM_21	SAM_22	SAM_23	SAM_24	SAM_25	SAM_26	SAM_27	SAM_28	SAM_29	SAM_30	SAM_31	SAM_32	SAM_33	SAM_34	SAM_35	SAM_36	SAM_37	SAM_38	SAM_39	SAM_40
median_read_length	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151
NCBI_accession	SRR6000894	SRR6000893	SRR6000899	SRR6000873	SRR6000874	SRR6000877	SRR6000871	SRR6000878	SRR6000944	SRR6000940	SRR6000945	SRR6000943	SRR6000890	SRR6000869	SRR6000946	SRR6000949	SRR6000896	SRR6000947	SRR6000903	SRR6000905	SRR6000902	SRR6000901	SRR6000906	SRR6000942	SRR6000910	SRR6000900	SRR6000931	SRR6000870	SRR6000907	SRR6000891	SRR6000909	SRR6000908	SRR6000911	SRR6000892	SRR6000920	SRR6000912	SRR6000921	SRR6000932	SRR6000895
curator	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato
anti_PD_1	non_responder	responder	non_responder	non_responder	non_responder	non_responder	responder	non_responder	non_responder	non_responder	non_responder	NA	non_responder	non_responder	responder	non_responder	non_responder	non_responder	responder	non_responder	non_responder	responder	responder	non_responder	non_responder	responder	responder	responder	non_responder	non_responder	non_responder	responder	responder	non_responder	responder	responder	non_responder	responder	non_responder
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	26.37788	12.12223	0.00455	9.99468	40.68954	0.00534	26.26643	16.59778	0.01105	13.38903	0.00125	36.98108	0.00363	16.04944	2.19117	6.70777	23.88789	31.93022	2.18182	23.65568	21.90488	17.09387	6.00354	4.70356	20.55196	31.83859	9.00893	7.12877	0.47628	21.97848	16.08091	33.69189	12.2178	3.69997	3.74538	0.00923	7.84792	0.00824	21.01317
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	12.04346	5.40191	5.75561	11.49584	0	0.35876	0	0.26453	9.16396	14.55525	0	0	0	0	2.58624	3.47884	3.32083	1.80456	0	6.57904	10.9889	0	10.67923	0	0	0	4.8426	4.34833	3.68917	5.35737	0	0	3.73097	10.77653	0.0018	0	0	12.99664	1.00399
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	9.05321	7.86234	22.80337	5.84546	0.00243	0.0066	11.02661	21.26214	21.40752	17.0756	0	13.25066	15.63529	36.15622	4.42964	3.59899	17.2915	1.41585	3.26034	0.00138	25.91787	27.28226	4.05666	45.34689	12.567	0.00543	3.7563	10.99221	1.58369	29.56744	20.12165	13.54243	11.55854	3.62268	28.96489	0.01178	31.57424	19.78174	6.24741
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	6.97914	2.83043	0.07858	0.08631	3.98981	0.00749	0	0.48291	0.00516	1.71216	4.93842	15.72126	0.44482	0.00457	0.3288	0	0	1.08885	4.04211	0.12376	0	3.48215	0	0	0.00084	0.49982	7.27728	5.44795	0.21212	0	0.03469	1.14643	0	0.09386	5.84553	3.25441	0.16615	0	1.20518
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	4.65952	0.06582	0.14677	27.17604	0.64494	0.94117	0	22.75323	1.27364	0.68053	0	1.50612	1.42628	3.41112	34.25265	0	0.25793	0.45519	0.76135	1.45665	0.92262	0	3.45862	0.17048	0.57925	0	0.50943	4.2056	0.07578	0.05419	0.10416	1.17413	0.72972	3.83194	0.22552	0	0.01488	3.82842	0.07346
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	3.51643	0	0.91778	6.40088	0	3.9396	5.64257	0	0.58927	0	0	0.00013	0	4.60849	0	2.86221	3.16214	0	3.75768	0	0	0	0	0	0	0	0.78907	2.17042	0	0.20897	7.18809	4.71886	0.38397	0	8.54914	0	0	3.96009	4.01798
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	2.59175	0.72592	8.67934	0.34718	4.03241	0.00187	6.97095	2.13123	3.37419	0	0	22.78024	1.99725	0.00374	0.26935	0.98184	12.15137	0.07085	1.78118	0.12869	0.01833	0.00442	0.2334	5.42168	0	11.09876	23.48073	18.26532	7.80306	0.63358	0.00108	1.71758	2.3005	0.74395	0.62469	0.00597	4.22397	0.4599	0.65614
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	2.42763	0.18681	1.46671	1.01193	0	22.04676	0	0	3.54029	0	32.7275	0	9.25026	0.58684	0.7334	0.26715	0	0.62332	0	1.16631	4.7909	0	0.43709	0	0	0	0.16141	0.1289	1.61819	0.11236	0	0	0.06204	0	0	10.35038	1.04275	1.26917	4.93013
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	2.34755	0.64945	0.02266	0.9385	0.02181	0	0	0.08514	8e-04	0.04084	0.03694	0	0.11514	0.02385	2.07505	0.00808	0	0.00574	0.49922	0.00619	0.00456	0	0.00355	0.01027	0	0.02774	0.00218	0.01346	1.7424	0	0.04682	0.08057	0.00134	0.03353	0.01343	0.00305	0	0.01528	0.00085
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	2.18896	2.44169	2.06369	0.54158	0	0.00079	2.66833	0	0.00069	0	0	0	2.01367	0	1.82649	2.23953	3.3856	3.05408	0.75592	0	0	0	2.36678	1.72975	2.40817	10.21699	1.37149	2.1257	0	5.18844	0.65331	0	1.10824	3.30749	13.05105	2.57457	1.94234	4.51578	5.50672
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	2.11693	1.82295	1.64312	1.46719	5.42	0	0	4.55847	3.60496	2.71837	0	0.00053	5.34209	0.00034	2.00037	0.56115	3.28963	0.37909	0.71804	9.85106	7.9469	7.45645	1.10791	1.11208	1.34526	0	0.48194	0.43069	5.6478	1.7217	0	2.51048	4.78171	2.11744	0	12.80471	1.89344	2.18435	7.33291
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20	2.01814	0.95401	0	0.1999	0	0	0	0.00017	0	0	0	0	1.16918	0	0	0	0	0.01451	0	0	0.70501	0	0.50037	0	0	0	1.28122	1.04993	0	0.00787	0.39721	0	0	0	0	0	0.72287	0	0.3345
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	1.97698	4.73259	0	0	0	0	0	0	0	0	0	0	0	0	0.17452	0	0.3488	0	0	0	2.41789	0	0	0	1.80406	0	0.0297	0.02427	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	1.9558	0.00891	0.20422	0.23202	1.14541	0	0	1.06369	0.01744	0.53849	2.49317	0.45301	1.48853	0.07738	0.02004	0.28751	0	0.08883	0.02399	0.00579	0	0	0.07887	0	1.03989	0	0.36392	0.27867	0	0	0.80923	0	0.17374	0	0.12519	3.39285	0.07729	0.22268	0.62259
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	1.89507	6.45529	0.56241	0.75235	3.53398	0	1.09184	1.18392	2.03973	0.21111	0	0.00404	2.71329	4.69754	1.64973	3.43503	0.95184	4.12615	0	1.93622	1.85409	0.4721	6.61428	0.0697	3.01052	0	7.23242	5.67602	3.99445	3.48389	0.78489	1.29833	2.79149	0.27351	1.28383	1.20522	3.8595	1.1539	1.83998
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	1.63258	1.59793	0.15164	0.74169	0	0	0	0	0.97411	0.73522	0	0	2.15314	0	0.72404	0.83417	0	0.76155	0	1.82181	0	0	0.46561	1.21618	0.98666	0	1.17592	1.07151	0	1.01626	0.35299	0.80674	1.36183	0.52967	0.57242	0.0016	1.42648	0.61089	1.19898
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	1.18361	2.84963	4.6314	1.5529	0	3.81245	0	0.42362	0.0026	0	0	0.1778	0	0.00301	3.89263	0.21848	0.00047	0.00012	0	7.80385	0	13.27548	2.62006	0.85705	0	0	0	0.00232	0.83097	0.04353	0.0022	0	2.1804	27.46063	1.6903	0	0	8.06455	0.00023
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_CAG_317	1.18122	0.27769	0.00061	0.03354	0	0	0	0	0	2.14198	0.57081	0.0898	0.40188	0	0	0.00046	0.02902	0	0.20045	0.02426	0.05376	0.13918	0	1.0191	0	1.62503	0.01613	0.16683	0.5839	0.04145	1.67583	0.02562	0.00343	1.70876	0.00532	0.01413	0.00516	0.58468	0.00513
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	0.95061	2.02335	0	0.02196	4.58827	0	0	1.92681	0.36289	0.1477	0	0	0.00696	0	0.76487	0.89552	0	0.07652	0.16031	2.05878	0.01358	0.16988	1.22013	0	6.10843	0	4.42676	3.3701	0.0107	0	0.02326	4.66928	0	0.28745	0	0.21264	0	0.01167	0.23725
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_2_1_46FAA	0.74703	0	0	0.09433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium	0.71198	0.10627	0	0.1923	0.05934	0.17442	0.05142	0	0	0	0	0	0.16012	0	0.23932	0	0.90938	0	0	0.00448	1.21742	0	0.22916	0.64734	0	0	0.00201	0.0111	3.07129	0	0.4751	0	0.52001	0	1.04474	0	0.74501	1.19233	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.66635	0.31154	0.00279	0.01686	0	0.00058	0	0.16006	0.04606	0	0	0	0.2744	0	2.55617	0.43994	0.09226	0.11666	15.99045	1.05524	0	3.40952	0	0.96749	0.68036	0	1.14588	0.9778	0.02438	0	3.20237	0	0.3567	1.0929	0.77949	0	0.10925	3.59405	1.03344
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.5645	1.06206	0	0	0	0	0	0	0.09365	0.15188	0	0	1.21264	0	0	0.07977	0	0	0	0.5125	0	1.87926	0.30495	0	0	5.49142	0.01666	0.00538	5.34861	0	0.79272	0	0	2.39875	7e-05	0	0	0.70045	15.66458
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.54096	2.84667	0.06625	0.78447	0	0	0.00161	0.16166	0.00233	0.10481	0.05631	0.00086	0.17913	0.02912	7.29051	0.00668	0	0.04005	0.07573	0.01333	0.01364	0.00704	0.00818	0.02089	0.01347	0.02095	0.00951	0.03183	9.15135	0.00113	0.00764	0.04137	0.01123	0.05906	0.1148	0	0.0039	0.09914	0.0011
