	SAMEA104142072	SAMEA104142073	SAMEA104142074	SAMEA104142075	SAMEA104142076	SAMEA104142077	SAMEA104142078	SAMEA104142079	SAMEA104142080	SAMEA104142081	SAMEA104142082	SAMEA104142083	SAMEA104142084	SAMEA104142085	SAMEA104142086	SAMEA104142087	SAMEA104142088	SAMEA104142089	SAMEA104142090	SAMEA104142091	SAMEA104142092	SAMEA104142093	SAMEA104142094	SAMEA104142095	SAMEA104142096	SAMEA104142097	SAMEA104142098	SAMEA104142099	SAMEA104142100	SAMEA104142102	SAMEA104142103	SAMEA104142104	SAMEA104142105	SAMEA104142106	SAMEA104142107	SAMEA104142110	SAMEA104142111	SAMEA104142112	SAMEA104142113	SAMEA104142114	SAMEA104142115	SAMEA104142116	SAMEA104142117	SAMEA104142118	SAMEA104142119	SAMEA104142120	SAMEA104142121	SAMEA104142122	SAMEA104142123	SAMEA104142124	SAMEA104142125	SAMEA104142126	SAMEA104142127	SAMEA104142128	SAMEA104142129	SAMEA104142130	SAMEA104142131	SAMEA104142132	SAMEA104142133	SAMEA104142134	SAMEA104142135	SAMEA104142136	SAMEA104142137	SAMEA104142138	SAMEA104142139	SAMEA104142140	SAMEA104142141	SAMEA104142142	SAMEA104142143	SAMEA104142144	SAMEA104142145	SAMEA104142146	SAMEA104142147	SAMEA104142148	SAMEA104142149	SAMEA104142150	SAMEA104142151	SAMEA104142152	SAMEA104142153	SAMEA104142154	SAMEA104142155	SAMEA104142156	SAMEA104142157	SAMEA104142158	SAMEA104142159	SAMEA104142160	SAMEA104142161	SAMEA104142162	SAMEA104142163	SAMEA104142164	SAMEA104142165	SAMEA104142166	SAMEA104142167	SAMEA104142168	SAMEA104142169	SAMEA104142170	SAMEA104142171	SAMEA104142172	SAMEA104142173	SAMEA104142174	SAMEA104142175	SAMEA104142176	SAMEA104142177	SAMEA104142178	SAMEA104142179	SAMEA104142180	SAMEA104142181	SAMEA104142182	SAMEA104142183	SAMEA104142184	SAMEA104142185	SAMEA104142186	SAMEA104142187	SAMEA104142188	SAMEA104142189	SAMEA104142190	SAMEA104142191	SAMEA104142192	SAMEA104142193	SAMEA104142194	SAMEA104142195	SAMEA104142196	SAMEA104142197	SAMEA104142198	SAMEA104142199	SAMEA104142200	SAMEA104142201	SAMEA104142202	SAMEA104142203	SAMEA104142204	SAMEA104142205	SAMEA104142206	SAMEA104142207	SAMEA104142208	SAMEA104142209	SAMEA104142210	SAMEA104142211	SAMEA104142212	SAMEA104142213	SAMEA104142214	SAMEA104142215	SAMEA104142216	SAMEA104142217	SAMEA104142218	SAMEA104142219	SAMEA104142220	SAMEA104142221	SAMEA104142222	SAMEA104142223	SAMEA104142225	SAMEA104142226	SAMEA104142227	SAMEA104142228	SAMEA104142229	SAMEA104142230	SAMEA104142231	SAMEA104142232	SAMEA104142233	SAMEA104142234	SAMEA104142235	SAMEA104142236	SAMEA104142237	SAMEA104142238	SAMEA104142239	SAMEA104142240	SAMEA104142241	SAMEA104142242	SAMEA104142243	SAMEA104142244	SAMEA104142245	SAMEA104142246	SAMEA104142247	SAMEA104142248	SAMEA104142249	SAMEA104142250	SAMEA104142251	SAMEA104142252	SAMEA104142253	SAMEA104142254	SAMEA104142255	SAMEA104142256	SAMEA104142257	SAMEA104142258	SAMEA104142259	SAMEA104142260	SAMEA104142261	SAMEA104142262	SAMEA104142263	SAMEA104142264	SAMEA104142265	SAMEA104142266	SAMEA104142267	SAMEA104142268	SAMEA104142269	SAMEA104142270	SAMEA104142271	SAMEA104142272	SAMEA104142273	SAMEA104142274	SAMEA104142275	SAMEA104142276	SAMEA104142277	SAMEA104142278	SAMEA104142279	SAMEA104142280	SAMEA104142281	SAMEA104142282	SAMEA104142283	SAMEA104142284	SAMEA104142285	SAMEA104142286	SAMEA104142287	SAMEA104142288	SAMEA104142289	SAMEA104142290	SAMEA104142291	SAMEA104142292	SAMEA104142293	SAMEA104142294	SAMEA104142295	SAMEA104142296	SAMEA104142297	SAMEA104142298	SAMEA104142299	SAMEA104142300	SAMEA104142301	SAMEA104142302	SAMEA104142303	SAMEA104142304	SAMEA104142305	SAMEA104142306	SAMEA104142307	SAMEA104142308	SAMEA104142309	SAMEA104142310	SAMEA104142311	SAMEA104142312	SAMEA104142313	SAMEA104142314	SAMEA104142315	SAMEA104142316	SAMEA104142317	SAMEA104142318	SAMEA104142319	SAMEA104142321	SAMEA104142322	SAMEA104142324	SAMEA104142325	SAMEA104142326	SAMEA104142327	SAMEA104142328	SAMEA104142329	SAMEA104142330	SAMEA104142331	SAMEA104142332	SAMEA104142333	SAMEA104142334	SAMEA104142335	SAMEA104142336	SAMEA104142337	SAMEA104142338	SAMEA104142339	SAMEA104142340	SAMEA104142341	SAMEA104142342	SAMEA104142343	SAMEA104142344	SAMEA104142345	SAMEA104142346	SAMEA104142347	SAMEA104142348	SAMEA104142349	SAMEA104142350	SAMEA104142351	SAMEA104142352	SAMEA104142353	SAMEA104142354	SAMEA104142355	SAMEA104142356	SAMEA104142357	SAMEA104142358	SAMEA104142359	SAMEA104142361	SAMEA104142362	SAMEA104142363	SAMEA104142364	SAMEA104142365	SAMEA104142366	SAMEA104142367	SAMEA104142368	SAMEA104142369	SAMEA104142370	SAMEA104142371	SAMEA104142372	SAMEA104142373	SAMEA104142374	SAMEA104142375	SAMEA104142376	SAMEA104142377	SAMEA104142378	SAMEA104142379	SAMEA104142380	SAMEA104142381	SAMEA104142382	SAMEA104142383	SAMEA104142384	SAMEA104142385	SAMEA104142386	SAMEA104142387	SAMEA104142388	SAMEA104142390	SAMEA104142391	SAMEA104142395	SAMEA104142397	SAMEA104142398	SAMEA104142400	SAMEA104142401	SAMEA104142402	SAMEA104142404	SAMEA104142405	SAMEA104142406	SAMEA104142407	SAMEA104142408	SAMEA104142409	SAMEA104142410	SAMEA104142411	SAMEA104142412	SAMEA104142413	SAMEA104142414	SAMEA104142415	SAMEA104142417	SAMEA104142418	SAMEA104142419	SAMEA104142420	SAMEA104142421	SAMEA104142422	SAMEA104142423	SAMEA104142424	SAMEA104142425	SAMEA104142426	SAMEA104142427	SAMEA104142428	SAMEA104142429	SAMEA104142430	SAMEA104142431	SAMEA104142432	SAMEA104142433	SAMEA104142434	SAMEA104142435	SAMEA104142436	SAMEA104142437	SAMEA104142438	SAMEA104142439	SAMEA104142440	SAMEA104142441	SAMEA104142442	SAMEA104142444	SAMEA104142445	SAMEA104142446	SAMEA104142447	SAMEA104142448	SAMEA104142451	SAMEA104142452	SAMEA104142455	SAMEA104142456	SAMEA104142457	SAMEA104142458	SAMEA104142459	SAMEA104142460	SAMEA104142461	SAMEA104142462	SAMEA104142463	SAMEA104142464	SAMEA104142465	SAMEA104142466	SAMEA104142467	SAMEA104142468	SAMEA104142469	SAMEA104142470	SAMEA104142471	SAMEA104142472	SAMEA104142473	SAMEA104142474	SAMEA104142475	SAMEA104142476
study_name	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017	JieZ_2017
subject_id	SAMEA104142072	SAMEA104142073	SAMEA104142074	SAMEA104142075	SAMEA104142076	SAMEA104142077	SAMEA104142078	SAMEA104142079	SAMEA104142080	SAMEA104142081	SAMEA104142082	SAMEA104142083	SAMEA104142084	SAMEA104142085	SAMEA104142086	SAMEA104142087	SAMEA104142088	SAMEA104142089	SAMEA104142090	SAMEA104142091	SAMEA104142092	SAMEA104142093	SAMEA104142094	SAMEA104142095	SAMEA104142096	SAMEA104142097	SAMEA104142098	SAMEA104142099	SAMEA104142100	SAMEA104142102	SAMEA104142103	SAMEA104142104	SAMEA104142105	SAMEA104142106	SAMEA104142107	SAMEA104142110	SAMEA104142111	SAMEA104142112	SAMEA104142113	SAMEA104142114	SAMEA104142115	SAMEA104142116	SAMEA104142117	SAMEA104142118	SAMEA104142119	SAMEA104142120	SAMEA104142121	SAMEA104142122	SAMEA104142123	SAMEA104142124	SAMEA104142125	SAMEA104142126	SAMEA104142127	SAMEA104142128	SAMEA104142129	SAMEA104142130	SAMEA104142131	SAMEA104142132	SAMEA104142133	SAMEA104142134	SAMEA104142135	SAMEA104142136	SAMEA104142137	SAMEA104142138	SAMEA104142139	SAMEA104142140	SAMEA104142141	SAMEA104142142	SAMEA104142143	SAMEA104142144	SAMEA104142145	SAMEA104142146	SAMEA104142147	SAMEA104142148	SAMEA104142149	SAMEA104142150	SAMEA104142151	SAMEA104142152	SAMEA104142153	SAMEA104142154	SAMEA104142155	SAMEA104142156	SAMEA104142157	SAMEA104142158	SAMEA104142159	SAMEA104142160	SAMEA104142161	SAMEA104142162	SAMEA104142163	SAMEA104142164	SAMEA104142165	SAMEA104142166	SAMEA104142167	SAMEA104142168	SAMEA104142169	SAMEA104142170	SAMEA104142171	SAMEA104142172	SAMEA104142173	SAMEA104142174	SAMEA104142175	SAMEA104142176	SAMEA104142177	SAMEA104142178	SAMEA104142179	SAMEA104142180	SAMEA104142181	SAMEA104142182	SAMEA104142183	SAMEA104142184	SAMEA104142185	SAMEA104142186	SAMEA104142187	SAMEA104142188	SAMEA104142189	SAMEA104142190	SAMEA104142191	SAMEA104142192	SAMEA104142193	SAMEA104142194	SAMEA104142195	SAMEA104142196	SAMEA104142197	SAMEA104142198	SAMEA104142199	SAMEA104142200	SAMEA104142201	SAMEA104142202	SAMEA104142203	SAMEA104142204	SAMEA104142205	SAMEA104142206	SAMEA104142207	SAMEA104142208	SAMEA104142209	SAMEA104142210	SAMEA104142211	SAMEA104142212	SAMEA104142213	SAMEA104142214	SAMEA104142215	SAMEA104142216	SAMEA104142217	SAMEA104142218	SAMEA104142219	SAMEA104142220	SAMEA104142221	SAMEA104142222	SAMEA104142223	SAMEA104142225	SAMEA104142226	SAMEA104142227	SAMEA104142228	SAMEA104142229	SAMEA104142230	SAMEA104142231	SAMEA104142232	SAMEA104142233	SAMEA104142234	SAMEA104142235	SAMEA104142236	SAMEA104142237	SAMEA104142238	SAMEA104142239	SAMEA104142240	SAMEA104142241	SAMEA104142242	SAMEA104142243	SAMEA104142244	SAMEA104142245	SAMEA104142246	SAMEA104142247	SAMEA104142248	SAMEA104142249	SAMEA104142250	SAMEA104142251	SAMEA104142252	SAMEA104142253	SAMEA104142254	SAMEA104142255	SAMEA104142256	SAMEA104142257	SAMEA104142258	SAMEA104142259	SAMEA104142260	SAMEA104142261	SAMEA104142262	SAMEA104142263	SAMEA104142264	SAMEA104142265	SAMEA104142266	SAMEA104142267	SAMEA104142268	SAMEA104142269	SAMEA104142270	SAMEA104142271	SAMEA104142272	SAMEA104142273	SAMEA104142274	SAMEA104142275	SAMEA104142276	SAMEA104142277	SAMEA104142278	SAMEA104142279	SAMEA104142280	SAMEA104142281	SAMEA104142282	SAMEA104142283	SAMEA104142284	SAMEA104142285	SAMEA104142286	SAMEA104142287	SAMEA104142288	SAMEA104142289	SAMEA104142290	SAMEA104142291	SAMEA104142292	SAMEA104142293	SAMEA104142294	SAMEA104142295	SAMEA104142296	SAMEA104142297	SAMEA104142298	SAMEA104142299	SAMEA104142300	SAMEA104142301	SAMEA104142302	SAMEA104142303	SAMEA104142304	SAMEA104142305	SAMEA104142306	SAMEA104142307	SAMEA104142308	SAMEA104142309	SAMEA104142310	SAMEA104142311	SAMEA104142312	SAMEA104142313	SAMEA104142314	SAMEA104142315	SAMEA104142316	SAMEA104142317	SAMEA104142318	SAMEA104142319	SAMEA104142321	SAMEA104142322	SAMEA104142324	SAMEA104142325	SAMEA104142326	SAMEA104142327	SAMEA104142328	SAMEA104142329	SAMEA104142330	SAMEA104142331	SAMEA104142332	SAMEA104142333	SAMEA104142334	SAMEA104142335	SAMEA104142336	SAMEA104142337	SAMEA104142338	SAMEA104142339	SAMEA104142340	SAMEA104142341	SAMEA104142342	SAMEA104142343	SAMEA104142344	SAMEA104142345	SAMEA104142346	SAMEA104142347	SAMEA104142348	SAMEA104142349	SAMEA104142350	SAMEA104142351	SAMEA104142352	SAMEA104142353	SAMEA104142354	SAMEA104142355	SAMEA104142356	SAMEA104142357	SAMEA104142358	SAMEA104142359	SAMEA104142361	SAMEA104142362	SAMEA104142363	SAMEA104142364	SAMEA104142365	SAMEA104142366	SAMEA104142367	SAMEA104142368	SAMEA104142369	SAMEA104142370	SAMEA104142371	SAMEA104142372	SAMEA104142373	SAMEA104142374	SAMEA104142375	SAMEA104142376	SAMEA104142377	SAMEA104142378	SAMEA104142379	SAMEA104142380	SAMEA104142381	SAMEA104142382	SAMEA104142383	SAMEA104142384	SAMEA104142385	SAMEA104142386	SAMEA104142387	SAMEA104142388	SAMEA104142390	SAMEA104142391	SAMEA104142395	SAMEA104142397	SAMEA104142398	SAMEA104142400	SAMEA104142401	SAMEA104142402	SAMEA104142404	SAMEA104142405	SAMEA104142406	SAMEA104142407	SAMEA104142408	SAMEA104142409	SAMEA104142410	SAMEA104142411	SAMEA104142412	SAMEA104142413	SAMEA104142414	SAMEA104142415	SAMEA104142417	SAMEA104142418	SAMEA104142419	SAMEA104142420	SAMEA104142421	SAMEA104142422	SAMEA104142423	SAMEA104142424	SAMEA104142425	SAMEA104142426	SAMEA104142427	SAMEA104142428	SAMEA104142429	SAMEA104142430	SAMEA104142431	SAMEA104142432	SAMEA104142433	SAMEA104142434	SAMEA104142435	SAMEA104142436	SAMEA104142437	SAMEA104142438	SAMEA104142439	SAMEA104142440	SAMEA104142441	SAMEA104142442	SAMEA104142444	SAMEA104142445	SAMEA104142446	SAMEA104142447	SAMEA104142448	SAMEA104142451	SAMEA104142452	SAMEA104142455	SAMEA104142456	SAMEA104142457	SAMEA104142458	SAMEA104142459	SAMEA104142460	SAMEA104142461	SAMEA104142462	SAMEA104142463	SAMEA104142464	SAMEA104142465	SAMEA104142466	SAMEA104142467	SAMEA104142468	SAMEA104142469	SAMEA104142470	SAMEA104142471	SAMEA104142472	SAMEA104142473	SAMEA104142474	SAMEA104142475	SAMEA104142476
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
study_condition	control	control	control	control	control	control	control	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	control	control	control	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	control	control	control	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	ACVD	control	ACVD	ACVD	ACVD	ACVD
